"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"European Nightjar","Caprimulgus europaeus",europaeus,"julien Rochefort",2007-07-07,22:30,"Forêt de Fontainebleau (near  Fontainebleau), Seine-et-Marne, Île-de-France",France,48.3935,2.6215,130,"Flight call and then wing-clapping","In flight.

bird-seen:yes

playback-used:no",,144593,//creativecommons.org/licenses/by-nc-sa/3.0/
"European Nightjar","Caprimulgus europaeus",europaeus,"julien Rochefort",2007-07-07,22:30,"Forêt de Fontainebleau (near  Fontainebleau), Seine-et-Marne, Île-de-France",France,48.3935,2.6215,130,"flight call","

bird-seen:yes

playback-used:no",,144592,//creativecommons.org/licenses/by-nc-sa/3.0/
"European Nightjar","Caprimulgus europaeus",europaeus,"julien Rochefort",2007-07-07,22:30,"Forêt de Fontainebleau (near  Fontainebleau), Seine-et-Marne, Île-de-France",France,48.3935,2.6215,130,"alarm call","Being branched at the beginning of the recording. An adult close to me, about 7 m.

bird-seen:yes

playback-used:no",,144591,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Cuckoo","Cuculus canorus",,"Tanguy Loïs",2022-04-21,19:30,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,"""chech"" flight call, song in flight","

bird-seen:yes

playback-used:no",,717174,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"julien Rochefort",2021-05-08,22:33,"Forêt de Sénart (near  Montgeron), Essonne, Île-de-France",France,48.6825,2.4771,90,"flight call, nocturnal flight call","A female. 

bird-seen:no

playback-used:no",,646981,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Tanguy Loïs",2021-04-23,08:00,"Poigny-la-Forêt, Yvelines, Île-de-France",France,48.6858,1.7374,150,"call, song","

bird-seen:no

playback-used:no","Erithacus rubecula",642048,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Tanguy Loïs",2020-06-23,21:00,"Forêt Domaniale de Rambouillet (near  Les Bréviaires), Yvelines, Île-de-France",France,48.725,1.8083,170,"call, song","

bird-seen:yes

playback-used:no","Acrocephalus scirpaceus",570983,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Tanguy Loïs",2020-06-04,13:30,"Raizeux, Yvelines, Île-de-France",France,48.634,1.6851,130,song,"

bird-seen:no

playback-used:no","Turdus merula,Corvus corone",565122,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Stanislas Wroza",2020-05-14,05:30,"Dampierre-en-Yvelines, Yvelines, Île-de-France",France,48.7129,1.9794,100,"""kiukiukiu"", bubble call, call, female, flight call, grunt, male, two males chas","

bird-seen:yes

playback-used:no",,558197,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Stanislas Wroza",2020-05-14,05:30,"Dampierre-en-Yvelines, Yvelines, Île-de-France",France,48.7129,1.9794,100,"bubble call, call, female, flight call, grunt, male","

bird-seen:yes

playback-used:no",,558196,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Stanislas Wroza",2020-05-14,05:30,"Dampierre-en-Yvelines, Yvelines, Île-de-France",France,48.7129,1.9794,100,"bubble call, call, female, flight call, grunt","

bird-seen:yes

playback-used:no",,558195,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Stanislas Wroza",2019-05-31,06:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,song,"

bird-seen:yes

playback-used:no",,477927,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Stanislas Wroza",2018-04-28,07:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,song,"

bird-seen:yes

playback-used:no",,412686,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",,"Stanislas Wroza",2018-04-28,07:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,song,"

bird-seen:yes

playback-used:no",,412685,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Cuckoo","Cuculus canorus",canorus,"julien Rochefort",2010-04-24,10:00,"Forêt de Fontainebleau (near  Fontainebleau), Seine-et-Marne, Île-de-France",France,48.3916,2.5957,120,"male, song","

bird-seen:yes

playback-used:no",,144003,//creativecommons.org/licenses/by-nc-sa/3.0/
"Common Cuckoo","Cuculus canorus",canorus,"julien Rochefort",2010-04-24,10:00,"Forêt de Fontainebleau (near  Fontainebleau), Seine-et-Marne, Île-de-France",France,48.3916,2.5957,120,"male, song","

bird-seen:yes

playback-used:no",,144002,//creativecommons.org/licenses/by-nc-sa/3.0/
"Rock Dove","Columba livia",,"Marie-Lan Taÿ Pamart",2020-04-03,10:30,"Paris, Arrondissement de Paris, Île-de-France",France,48.8406,2.3479,50,"adult, call, sex uncertain","Pedro the friendly feral pigeon begging for food at the window.

Distance: ~30cm

Background noise: vacuum cleaner

Equipment: Olympus LS-12 (internal mics)

bird-seen:no

playback-used:no",,541143,//creativecommons.org/licenses/by-sa/4.0/
"Stock Dove","Columba oenas",,"Stanislas Wroza",2020-05-12,06:00,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",France,48.3941,2.577,70,song,"

bird-seen:yes

playback-used:no",,557898,//creativecommons.org/licenses/by-nc-sa/4.0/
"Stock Dove","Columba oenas",,"Stanislas Wroza",2020-04-04,07:00,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8205,2.1781,130,"song, wing beats","

bird-seen:yes

playback-used:no",,541560,//creativecommons.org/licenses/by-nc-sa/4.0/
"Stock Dove","Columba oenas",,"Stanislas Wroza",2020-03-24,06:30,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8205,2.1781,130,"wing beats","

bird-seen:yes

playback-used:no",,537815,//creativecommons.org/licenses/by-nc-sa/4.0/
"Stock Dove","Columba oenas",,"Stanislas Wroza",2018-03-17,09:00,"Marly-le-Roi, Yvelines, Île-de-France",France,48.8688,2.0913,130,"wing beats","

bird-seen:yes

playback-used:no",,535781,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Wood Pigeon","Columba palumbus",,"Tanguy Loïs",2020-06-02,16:00,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,song,"

bird-seen:yes

playback-used:no","Phylloscopus collybita,Turdus merula",564410,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Wood Pigeon","Columba palumbus",,"Stanislas Wroza",2020-05-02,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,"song, whirring on nest","

bird-seen:yes

playback-used:no",,553207,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Wood Pigeon","Columba palumbus",,"Stanislas Wroza",2020-03-21,06:30,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8205,2.1781,130,song,"

bird-seen:yes

playback-used:no",,536577,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Collared Dove","Streptopelia decaocto",,"Stanislas Wroza",2020-05-02,07:00,"Davron, Yvelines, Île-de-France",France,48.8659,1.9428,110,song,"

bird-seen:yes

playback-used:no",,553211,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Collared Dove","Streptopelia decaocto",,"Stanislas Wroza",2020-03-24,06:30,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8205,2.1781,130,song,"

bird-seen:yes

playback-used:no",,537820,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Collared Dove","Streptopelia decaocto",,"Tanguy Loïs",2020-02-23,08:30,"Hermeray, Yvelines, Île-de-France",France,48.6374,1.6741,140,song,"

bird-seen:yes

playback-used:no","Fringilla coelebs,Erithacus rubecula,Passer domesticus,Erithacus rubecula",529237,//creativecommons.org/licenses/by-nc-sa/4.0/
"Water Rail","Rallus aquaticus",,"Tanguy Loïs",2022-04-22,02:00,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,"""Ick"" call, nocturnal flight call","

bird-seen:no

playback-used:no",,717150,//creativecommons.org/licenses/by-nc-sa/4.0/
"Water Rail","Rallus aquaticus",,"Tanguy Loïs",2022-03-12,02:30,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,"""Ick"" call, nocturnal flight call","

bird-seen:no

playback-used:no",,708029,//creativecommons.org/licenses/by-nc-sa/4.0/
"Water Rail","Rallus aquaticus",,"Stanislas Wroza",2021-01-11,18:00,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,song,"

bird-seen:yes

playback-used:no",,615318,//creativecommons.org/licenses/by-nc-sa/4.0/
"Water Rail","Rallus aquaticus",,"Stanislas Wroza",2020-05-24,06:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"call, drumming, grunt, song, stomping","

bird-seen:yes

playback-used:no",,561731,//creativecommons.org/licenses/by-nc-sa/4.0/
"Water Rail","Rallus aquaticus",aquaticus,"julien Rochefort",2016-03-24,13:00,"Jaulnes, Seine-et-Marne, Île-de-France",France,48.44,3.2828,50,call,"

bird-seen:no

playback-used:no",,309217,//creativecommons.org/licenses/by-nc-sa/4.0/
"Spotted Crake","Porzana porzana",,"Tanguy Loïs",2022-04-21,02:30,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,"nocturnal flight call, song in flight, wing beats","

bird-seen:no

playback-used:no",,716983,//creativecommons.org/licenses/by-nc-sa/4.0/
"Spotted Crake","Porzana porzana",,"Panvert Robin",2021-04-22,06:30,"Longjumeau, Essonne, Île-de-France",France,48.6975,2.2782,40,song,,,645190,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Moorhen","Gallinula chloropus",,"Tanguy Loïs",2022-04-22,23:30,"Raizeux, Yvelines, Île-de-France",France,48.6312,1.6872,130,"nocturnal flight call","

bird-seen:no

playback-used:no",,717376,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Moorhen","Gallinula chloropus",,"Stanislas Wroza",2020-11-28,08:00,"Herblay, Val-d'Oise, Île-de-France",France,48.9823,2.1633,20,"black swan like call, flight call, klaxon","

bird-seen:yes

playback-used:no",,606403,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Moorhen","Gallinula chloropus",,"julien Rochefort",2018-04-26,00:56,"Forêt de Sénart (near  Draveil), Essonne, Île-de-France",France,48.6741,2.4511,90,"nocturnal flight call","

bird-seen:no

playback-used:no",,597218,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Moorhen","Gallinula chloropus",,"julien Rochefort",2020-04-13,04:30,"Savigny-sur-Orge, Essonne, Île-de-France",France,48.675,2.3501,50,"nocturnal flight call","

bird-seen:no

playback-used:no",,597214,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Moorhen","Gallinula chloropus",,"julien Rochefort",2020-04-19,01:54,"Savigny-sur-Orge, Essonne, Île-de-France",France,48.675,2.3501,50,"nocturnal flight call","

bird-seen:no

playback-used:no",,597213,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Moorhen","Gallinula chloropus",,"Stanislas Wroza",2020-04-23,07:00,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",France,48.8205,2.1781,130,"flight call","

bird-seen:yes

playback-used:no",,549541,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Moorhen","Gallinula chloropus",,"Stanislas Wroza",2020-03-01,19:30,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"""ti-di"", call, rolled call","

bird-seen:no

playback-used:no",,534750,//creativecommons.org/licenses/by-nc-sa/4.0/
